Episode,Average Win Num,Average Survival Time,Average Speed
7,0.0,40.2,24.158596
0,0.0,26.0,22.974495
1,0.0,45.4,24.251438
2,1.0,33.8,23.720476
3,0.0,51.8,24.634726
4,2.0,45.4,21.440693
5,1.0,39.6,22.92622
6,0.0,51.4,23.225328
7,0.0,40.6,24.051626
0,0.0,36.0,23.439783
1,0.0,33.4,22.98955
2,1.0,31.6,21.928572
3,0.0,45.0,23.431583
4,1.0,56.6,23.228006
5,2.0,48.4,20.779099
6,0.0,47.4,23.833416
7,1.0,44.6,21.898184
